Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.45857431678,5.682861321615587,7.009188142792237,4.09,23086.800502686456,1059033.5578701235,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245482568,6.0028998082752425,6.730821019094919,3.09,40173.07217364482,1505890.91484695,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.067178656784,5.865889840310001,8.512727430375099,5.13,36882.15939970458,1058987.9878760849,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24004622798,7.1882360945186425,5.586728664827653,3.26,34310.24283090706,1260616.8066294468,"USS Barnett
FPO AP 44820"
59982.197225708034,5.040554523106283,7.839387785120487,4.23,26354.109472103148,630943.4893385402,"USNS Raymond
FPO AE 09386"
80175.7541594853,4.9884077575337145,6.104512439428879,4.04,26748.428424689715,1068138.0743935304,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46342788773,6.025335906887153,8.147759585023431,3.41,60828.24908540716,1502055.8173744078,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.33927753085,6.9897797477182815,6.620477995185026,2.42,36516.358972493836,1573936.5644777215,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66081334963,5.36212556960358,6.3931209805509015,2.3,29387.39600281585,798869.5328331633,"USS Gilbert
FPO AA 20957"
81885.92718409566,4.423671789897876,8.167688003472351,6.1,40149.96574921337,1545154.8126419624,"Unit 9446 Box 0958
DPO AE 97025"
80527.47208292288,8.09351268063935,5.042746799645982,4.1,47224.35984022191,1707045.722158058,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.69549704281,4.496512793097035,7.467627404008019,4.49,34343.991885578806,663732.3968963273,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.809236982364,7.671755372854428,7.250029317273495,3.1,39220.36146737246,1042814.0978200927,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.6634410467,6.919534825456555,5.9931879009455695,2.27,32326.123139488096,1291331.5184858206,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.3801843616,5.344776176735725,8.406417714534253,4.37,35521.294033173246,1402818.2101658515,"PSC 5330, Box 4420
APO AP 08302"
73091.86674582321,5.443156466535474,8.517512711137975,4.01,23929.524053267953,1306674.6599511993,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96305765743,5.067889591058972,8.219771123286257,3.12,39717.81357630952,1556786.6001947748,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
